Majority protein IDs	Protein names	gene	S1	S2	S3	DTL1	DTL2	DTL3	ATL	mTAL	cTAL	DCT	CNT	CCD	OMCD	IMCD
A0A0G2K8A9	NA	A0A0G2K8A9	0	55244.14840492719	11293.83263594486	5308.129305535071	18.39487276991714	2803.8563169217464	0	8.333626074368441	796.2617793451122	734.2872273847996	5303.47103523789	8.549608501366906	0	2185.2951490580044
A0A0G2K9F2	NA	A0A0G2K9F2	7425.188403392367	16346.725747889774	8569.478370016215	3731.037260655128	2716.131997581848	4141.309466658883	0	4617.7966199116645	5823.326827088935	5455.288146185476	13654.352530688833	8537.817022491598	5716.388539478122	12204.425419992323
A0JPQ1	Uncharacterized protein C7orf57 homolog	A0JPQ1	90230.02617730542	427155.256992375	320384.9446218899	0	0	0	0	0	280.5358293878625	0	0	6.664118452233271	0	0
A0JPQ7	Uncharacterized protein C19orf47 homolog	A0JPQ7	0	23.311218160185618	0	1407.281360056817	0	0	0	0	0	344.9336212770054	3913.1047390231115	3626.3288565016896	0	11.640622137658601
Q923K9	APOBEC1 complementation factor	A1cf	8312.051760437836	224351.24816758072	354622.46161351475	0	15.88980503477293	0	0	0	346.51069789886685	232.26621814331529	0	3.9338798300697126	0	0
P14046	Alpha-1-inhibitor 3	A1i3	3572.2355853866134	255.3840564985145	15.977181006387646	25868.779385939088	28026.311628974883	17990.65878646686	31355.457799128202	389.3521690091614	307.62466616996215	3927.1092227856407	2683.112889434897	6173.904215150539	2802.258816924332	1543.557264613816
Q63041	Alpha-1-macroglobulin;Alpha-1-macroglobulin 45 kDa subunit	A1m	3815.6899179426614	7227.478691518585	9188.235882789291	11112.43248036678	5650.843379101948	2935.122492333304	11859.058896565517	0	13.745466389888671	151.59398233781425	126.95223463560338	1944.4999346741497	0	10.122415875633259
Q9JI93	Lactosylceramide 4-alpha-galactosyltransferase	A4galt	0	0	0	0	0	0	0	0	0	131.46770588434623	257.072228378683	7.467806673238567	0	0
D3ZNS8	NA	Aaas	0	6346.191393813865	688.825044559405	94.19383350500354	0	0	5049.250514667882	38.78261552309335	11710.901297756249	274.31578099025074	4901.276940636443	1394.8905852537039	178.44066756189227	42311.14609022499
Q9JMI1	Acetoacetyl-CoA synthetase	Aacs	0	0	0	0	0	0	0	0	0	122.40723483219898	3735.278901660942	217.1704500185755	4518.582281571067	15461.745111454693
Q9QZH8	Arylacetamide deacetylase	Aadac	0	160386.706182759	0	0	0	0	0	0	326.6425266456044	0	0	0	0	0
Q64602	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	Aadat	577844.6454597202	37854563.8886046	46080789.425055794	1560979.5880597183	1097203.5967791479	61854.43519367985	65329.55404143156	189988.53524716367	338273.8574843589	258696.61676955872	37562.09930096988	112940.33819682771	76037.61493927201	104456.47327714173
Q9R0Z7	Alpha- and gamma-adaptin-binding protein p34	Aagab	0	0	0	0	0	0	226.5749469607863	0	190.7558498986921	224.74795423739653	14.14911159383242	0	0	9375.045167290125
P0C1X8	AP2-associated protein kinase 1	Aak1	16709.03974900824	111060.11539120655	112724.52233690624	15956.712538999489	6989.73053719057	14514.833721100935	26053.150604211263	19359.62942162271	30885.168631882712	25678.612478993742	42361.64028482966	86552.76247347883	38445.72097710049	28491.798664894977
D3ZZQ4	NA	Aamdc	0	47.272230815224106	38901.53292015486	7880.477502408203	452.8368732746823	6423.907493472486	0	24581.797816484646	60929.9737911581	49811.16269338898	40628.57230799659	33758.454929803214	0	64679.1196130546
G3V7V2	NA	Aamp	15293.840899297447	22637.13373949505	50530.747444521345	7070.906671350262	11456.164611157792	404.75061750564413	0	1487.3538433874105	554.6607309322544	642.070392531346	6176.675091442671	11115.801457141031	9657.76175282118	14004.614086532523
B1WC03	NA	Aar2	0	460.062122672288	0	0	0	0	0	0	11.771272077571798	0	1309.4164145393913	0	0	3806.8103730679504
P50475	Alanine--tRNA ligase, cytoplasmic	Aars	174436.0699804448	280155.5235788758	238893.6864106997	26321.261267701175	48907.92013712172	12737.196041796547	6195.719098626149	63025.142229637575	106045.48343712791	95858.09130253036	105693.04262009551	136842.2153303128	43211.359149222306	354960.1565340264
D3ZX08	Alanine--tRNA ligase, mitochondrial	Aars2	1450.5534520799715	15793.554279410584	9240.353888677924	2251.8499233311413	3355.3948394574186	627.0510045886141	0	12385.593309530152	11627.687448707808	9006.475021671427	8573.732494274163	4520.1463576965925	4965.419338240298	0
Q5XI97	Alanyl-tRNA editing protein Aarsd1	Aarsd1	14511.601475060419	199739.6115766616	310994.1634682765	29543.18824342192	15470.770398025317	10912.414462710416	21337.077111186823	32901.776186331685	76977.65568817525	62904.977704261946	43062.551890890994	88974.18446969936	43300.941278094564	20016.036545202925
B2RYJ4	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Aasdhppt	0	0	0	0	0	0	0	0	262.23805907188137	0	118.19782792638155	631.2954524189702	0	0
A2VCW9	Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase	Aass	855091.4724292343	1742103.8040273925	2007170.7773497654	6332.205114372789	141675.32485773473	5310.664567063049	0	35.58918612411699	1221.396201665951	971.367186405274	4021.422473568312	25108.12853483537	22816.143364118725	3858.6550282626627
P50554	4-aminobutyrate aminotransferase, mitochondrial;4-aminobutyrate aminotransferase, brain isoform;4-aminobutyrate aminotransferase, liver isoform	Abat	1058506.706542327	2531062.4404659946	687237.8721609552	1181.5984918077422	20095.862347776452	887.7874056280955	0	926.7127752138621	14930.492936201184	1052.083295588356	0	15.79231009149926	0	0
Q9ESR9	ATP-binding cassette sub-family A member 2	Abca2	61575.5517165783	23.018339476474544	135.27867998545042	0	0	0	8.568516611358989	177.05610889740163	83.57229068146152	8981.312918719797	8836.578557823792	5907.717905285424	1765.3300516573318	1444.1861619715708
A0A0G2K1Q8	NA	Abca3	4019.7547963742422	6193.262527944518	3479.768379943146	0	0	339.07182750919435	0	0	9.107371369486462	1455.0757638348382	3878.880689830263	43175.10077873828	124.68035783091571	954.6509989252072
D3ZCF8	NA	Abca8a	0	0	0	0	0	0	0	0	100.37463470897058	116.51897118088964	0	4.209533766322107	0	0
P43245	Multidrug resistance protein 1	Abcb1	2080.1905670877945	79636.60881576654	154022.4848070985	0	0	0	0	0	5.03742247449711	0	0	0	0	0
Q5FVL8	NA	Abcb10	0	19687.65388939492	107706.03130818163	229.695645780695	2048.2814298828575	2749.9052464856322	6970.97870719089	32330.917738765245	111025.26722313369	105096.35364195493	32943.154868123645	50892.683632477936	20256.722157280252	6873.898496849452
O70127	Bile salt export pump	Abcb11	0	60.21229203891388	14.091247665694716	8.524120682585034	0	0	0	0	0	0	0	0	0	0
O70595	ATP-binding cassette sub-family B member 6, mitochondrial	Abcb6	0	15201.218523737372	0	0	0	0	0	0	974.7247674268567	293.26277957027384	2624.23330513298	8049.239088361495	9.95711801470241	0
Q704E8	ATP-binding cassette sub-family B member 7, mitochondrial	Abcb7	72058.24234165078	141888.95662500183	49960.11927838849	4896.533808202245	26193.54270763642	10395.895437245017	3352.4774368390676	53713.20467799168	65915.5141213516	64639.531662992355	24207.433681680064	30567.676514432544	14097.260098118379	11687.705514015814
Q5RKI8	ATP-binding cassette sub-family B member 8, mitochondrial	Abcb8	26146.001962771352	127760.78800522085	70258.47209639104	6864.003283242653	21952.537499953953	6402.67329459692	708.5813228599769	72491.89949831687	103330.86362819624	102046.51083259644	31732.385284120795	32233.952117316465	15617.895997064334	1429.2104824566707
Q8CG09	Multidrug resistance-associated protein 1	Abcc1	0	0	0	1123.138869354771	1469.8211391502812	3641.9932107124196	4130.249072755399	257.8005690782549	12355.45473559309	4728.471441987644	3693.9363101435397	2971.047571890899	183.66266813769224	11174.817321949384
D3ZX04	NA	Abcc10	0	75.10354589479162	0	0	0	0	0	0	4.828987758491237	0	0	2.808759097920231	0	0
Q63120	Canalicular multispecific organic anion transporter 1	Abcc2	29585.22008024665	8068.004420217328	0	0	0	0	0	0	0	0	0	46.09634368484452	0	0
O88563	Canalicular multispecific organic anion transporter 2	Abcc3	10531.579214324865	27884.71337585268	4957.940925807785	0	67.29982418086108	943.0059531405891	0	0	1134.3182242923522	1289.5782024196587	0	913.949322915162	3278.6139181563635	1106.5745107402356
F1M3J4	NA	Abcc4	27735.033023099437	61657.0763534131	190.56380390733563	11226.683576787538	19271.816843305725	28077.000559977394	12829.50218650356	18454.465167929946	33058.17221115566	268.89047577930427	7055.97980180933	7397.541516286177	26743.303085736352	55317.297752021834
Q9QYM0	Multidrug resistance-associated protein 5	Abcc5	0	0	0	0	815.6661952592865	0	0	0	0	0	0	115.31975700855497	0	1337.5912941851443
O88269	Multidrug resistance-associated protein 6	Abcc6	0	12816.391636264621	253.3251353864876	0	0	0	0	0	0	0	0	0	0	0
D3ZHR2	NA	Abcd1	0	6260.352136312086	0	0	0	0	0	0	179.00930149409572	0	2494.2156533252664	2097.0586923974897	0	0
P16970	ATP-binding cassette sub-family D member 3	Abcd3	211884.92894537703	1668268.7930698611	659311.2024793776	23280.361409996953	21855.73701742837	7931.571705018765	4836.387803094842	27114.527480265355	83999.17792478917	108553.4078771433	141649.904868796	162568.43537589748	47506.25198705167	41938.765809009026
D3ZD23	NA	Abce1	11790.89668678215	234530.91780644903	168711.54430959374	45874.90436737301	23139.212967621483	50597.09732284268	16741.069688961412	45744.29398187686	90372.0901258031	85919.52998627652	139941.11338010165	81184.21177205532	53235.52513579826	108631.96048749097
Q6MG08	ATP-binding cassette sub-family F member 1	Abcf1	20799.896859888937	104803.02336268166	99598.82960557357	13811.29942360348	11410.712916020277	12256.46100183169	16848.83984506638	9502.830892359385	34484.93647487935	30129.388710131447	33863.252912250995	63957.63012348781	33812.7208390131	40949.609258877725
A0A096MIV5	NA	Abcf2	12966.404006783685	43704.70203673031	23411.128955768487	5798.237045409954	13378.820884985878	12766.47771804156	4515.8709466764685	11845.382865861024	15373.242771794507	18925.91905262491	22008.160471439813	11914.143254571978	10961.749395034749	19617.83513682679
Q66H39	ATP-binding cassette sub-family F member 3	Abcf3	0	19769.54309589191	33245.92045131146	3978.0788031883744	16.408584157802952	5707.481817676402	10.724317455703838	9632.83691228906	524.177515748727	13526.747083991371	21640.971844496886	14068.693157656946	6490.1753713399075	14209.951775470761
Q80W57	ATP-binding cassette sub-family G member 2	Abcg2	284353.9125550254	652140.9976600066	2038330.0562650359	2808.7526659200603	469.591156950071	0	0	0	10682.674323890937	5962.363927548836	0	10.914611576189245	0	0
Q4KM08	NA	Abcg3l1	4683.858370350201	5264.535540727523	0	120.97432192935779	0	911.8014643383651	0	0	5447.97022345124	8.859775385977535	158.74050933415418	7.1145374914547705	0	2192.3623132449416
D4A896	NA	Abcg3l3	0	14.907038378921857	0	0	0	0	0	0	0	0	0	0	0	944.1656099264324
Q5RK23	Abhydrolase domain-containing protein 1	Abhd1	0	73157.01817274105	20958.136339728455	0	0	0	0	0	507.8410172837475	0	211.34805823927763	7.562515199432847	0	11087.63883992792
Q5I0K5	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	Abhd10	0	557.7238491854821	0	0	0	0	0	64.64555674750997	11074.563904425873	8346.637158558371	180.10927809329644	7.280358012673323	209.46572573008035	3609.4728700959654
D3ZXK4	NA	Abhd11	136851.50921753253	248921.09783975856	373880.85171384696	26110.421890046546	27381.21101420664	19187.895849096698	22812.44827280736	108784.07109670292	178259.10239787452	208197.85753416788	177195.55164041946	112969.75508246549	60797.26679067025	15734.239987173722
Q6AYT7	Monoacylglycerol lipase ABHD12	Abhd12	0	13331.740745306632	549.4891734348047	21152.233180053547	7240.505124830399	15153.077544590007	5104.4138334342215	20455.647679432237	64292.556057893584	35463.5001194339	25082.23278038302	48327.89963148918	7006.955186418151	38530.788426384584
Q5I0C4	Alpha/beta hydrolase domain-containing protein 14A	Abhd14a	0	27131.9018456531	127117.96768541666	0	0	0	0	0	0	0	0	0	0	0
Q6DGG1	Alpha/beta hydrolase domain-containing protein 14B	Abhd14b	310206.92179187987	5339546.427761428	14256453.627654873	263384.22393190913	135925.0213504451	106883.10660641642	230973.02994782556	298981.65127384965	492569.84900031064	566768.3298365785	605549.8663256057	691558.8875581861	292435.23235479573	452650.15499896294
Q6MG55	Abhydrolase domain-containing protein 16A	Abhd16a	0	32075.94419881723	602.4586649176373	1908.6025899199885	13.451080456949983	251.8078994342527	0	8514.966587486506	19507.361083133812	18113.098328391552	11492.36830036493	5409.103695679661	5468.463819210907	11135.856547621906
Q5XIJ5	Alpha/beta hydrolase domain-containing protein 17A	Abhd17a	0	0	0	0	0	0	0	0	154.10751462114277	149.91735672292927	0	3.7387304549055864	0	0
Q6AY17	Alpha/beta hydrolase domain-containing protein 17B	Abhd17b	0	0	0	0	0	0	0	0	0	0	0	102.18271282049663	0	3912.227811646864
B5DFK7	NA	Abhd17c	0	17.292769608333753	0	0	0	0	0	0	14.82380970995887	0	0	0	0	202.2465512520977
A0A0G2K337	NA	Abhd2	0	0	0	0	0	0	0	0	0	0	0	5.621376746235969	0	0
D4A3D4	NA	Abhd3	0	0	0	0	0	0	0	0	0	0	0	0	0	148.16134338916112
D3ZAW4	NA	Abhd4	0	306.90028740330473	0	0	0	0	0	58.97331885265165	10580.205805659672	397.778053310267	0	9.142988881851904	0	0
Q5XI64	Monoacylglycerol lipase ABHD6	Abhd6	0	14073.565576932375	0	12819.346019420218	9247.94396734554	3394.5207721525853	18599.94620742893	1756.6040369240536	679.4509741901347	876.3369477538353	14980.168718301513	7265.143576166847	8223.41963179461	19888.400819447004
Q9QZM5	Abl interactor 1	Abi1	13530.074161641907	144816.55486800842	19551.1964319705	59725.4481667113	17573.31260055999	59118.632791438955	12919.20672087657	13749.373642334416	42573.641195711454	45910.080095694604	118332.29351425862	147074.072919993	79919.13951652225	179222.40586867474
F1LYA6	NA	Abi2	244.0118731320113	9488.929960361187	0	8666.294993957963	3720.2953490797127	2295.5551827730255	4211.330321007508	6652.559250748622	10352.952141873673	23646.79675056995	4013.506539612756	3282.520444552422	3758.1613987147207	2127.167397373284
Q6AYC6	NA	Abi3	0	14.21059542627369	0	0	0	0	0	0	13.72724920542165	12.546113727964178	0	0	0	0
D4AE08	NA	Abitram	0	0	0	0	0	0	0	0	0	0	0	7.1685719779879165	0	0
E9PT20	Non-specific protein-tyrosine kinase	Abl1	0	2044.4226330463725	0	1014.30425893497	0	2833.6664982258517	0	0	0	107.12701854849522	1786.2183834902044	1582.6508601677192	0	4984.757749218079
F1M0N1	Non-specific protein-tyrosine kinase	Abl2	0	0	0	7.4896778319931325	0	0	0	0	95.75764548432386	0	0	0	0	52.56289435817675
Q6KC51	Actin-binding LIM protein 2	Ablim2	0	0	0	0	0	882.2258980694478	0	0	0	103.21974530340566	0	0	0	0
F1M8U2	NA	Ablim3	0	130.54981876658064	0	0	27.94786630597005	0	0	0	11.47013485181906	0	0	0	0	1403.9595030899468
A0A0G2JTR4	NA	Abr	0	10.346062310170593	0	1570.128994871453	2022.7683872582656	4165.947054999132	2652.4538936827435	271.79507623056566	2873.583254795067	128.5107134568448	9.920437026396117	123.22192214821641	0	6306.087880873848
D3ZSL2	NA	Abracl	0	82327.79091219298	0	0	0	0	0	0	43474.55336109301	1286.3014937335495	141141.6277621394	265860.1472687883	0	19668.936821500258
D4A415	NA	Abraxas2	28649.977706388654	90807.55507529194	323353.40282153524	27674.242860500035	32913.8531288887	43973.463017234026	34861.96336051286	15649.612139824272	48484.66648790213	61068.90329098688	66383.70114248013	143862.35370804596	40600.82723265966	85326.02098219539
P21775	3-ketoacyl-CoA thiolase A, peroxisomal	Acaa1a	361759.4453461381	1814998.5096151019	2203243.5829802756	24421.66888119408	16007.151365949183	224.7364077728527	11754.4908669139	68230.34725157119	97706.67392179444	41906.98682828713	72741.60864091679	113934.93515652057	50447.82664021254	7567.486689353176
P07871	3-ketoacyl-CoA thiolase B, peroxisomal	Acaa1b	0	49108.59672945862	0	0	0	0	0	0	0	0	0	0	0	0
P13437	3-ketoacyl-CoA thiolase, mitochondrial	Acaa2	4015662.20855836	10996204.242926707	1337527.8806777196	141445.16900370305	347903.30840458896	187852.48964314268	554393.3140686912	1846333.4288393124	2614172.879995463	2744817.4690617546	979490.4931280409	1177025.0725208176	487210.26087629586	356235.624114875
P11497	Acetyl-CoA carboxylase 1;Biotin carboxylase	Acaca	0	0	13.29583619304899	0	0	0	0	241.17903803713907	4278.25709410955	3686.8978984276887	2187.476596114187	4122.39814810864	0	3736.0345759699653
E9PSQ0	NA	Acacb	0	751.4013342175714	0	297.8737854391468	7.718284331126007	0	0	12020.770255296446	25625.82874709912	14528.641981857474	977.1867024738232	4.835485798637402	749.3611537128334	258.48650966606294
F1LSP2	NA	Acad10	149524.6542998299	424105.11310207524	258589.69463152514	2191.15486332677	7216.192931541846	1605.730866782277	70.84545892109512	64160.56608734472	77933.05933824617	93752.03540501109	40889.99543819921	57465.70004945074	8590.727733706657	984.6379465746834
B3DMA2	Acyl-CoA dehydrogenase family member 11	Acad11	28024.03033742287	519088.04521850595	163171.393314273	4583.142064049442	2444.543573333801	108.73746156389082	0	14606.130123373316	40559.12855753504	25298.877547796263	47553.03441479044	39641.950914647656	18289.263444295728	1559.0335141041037
M0RDK9	NA	Acad8	61272.831096938644	487077.36434935534	240306.39743186085	0	5589.200457983395	178.55374031511738	0	53645.91375147613	152153.00665794572	211271.49124880214	60975.513567146976	31291.776735621883	7340.147596340382	710.974583117033
B1WC61	NA	Acad9	339976.39242519066	745218.2536611928	127197.44646941991	38505.00477470235	84379.78694573761	31687.120363017253	24050.196487576944	317571.2375032926	605335.38229019	525908.4664746015	318103.2595212614	183219.71096528144	151346.41342653672	33992.95522934052
P15650	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadl	5041675.027820516	17118346.952788357	8306102.347108792	352763.9257635676	768529.0810801483	185579.68580725315	481331.9958948918	2598729.898576519	1575618.4240286166	1680746.8606956378	674633.5537127703	886358.8994998573	301979.3784416742	250323.28366763072
P08503	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadm	1273235.6339419582	13222918.35298502	15668697.448967852	297513.0139980403	415691.7978018335	217518.79404937857	571988.7903551016	2217005.132713127	2961303.093300837	2705800.6803982584	1383361.754644665	1482663.1670095138	778733.3658907639	360015.5812581353
P15651	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	Acads	170899.19093436672	2367200.893976458	2808575.0716062277	37209.56396206562	55875.231176538786	34664.25882665015	36031.685297075026	5661.546524594745	199072.86502219655	196711.61426983555	394768.1568185917	540252.8196806608	174196.84755183753	194655.11849632964
P70584	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	Acadsb	25465.184693706313	685943.2294733591	436840.42761544266	75980.1821879235	146793.06955310996	36929.19649748786	56440.29050201724	850085.5113401804	1813978.6836171977	1219019.515920485	291093.55668163847	361902.995623652	262322.37620968453	38798.018909504644
P45953	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadvl	730033.9468961284	2254238.4557549465	1031743.6023302175	89707.04465768761	172865.09896232636	80498.2234534806	70340.67638124131	707241.0783807161	839629.1856947632	705887.4269868024	421334.065101011	482088.031389851	268701.99505970435	88655.18259124883
D4ABD3	NA	Acap1	0	0	0	0	0	0	0	0	0	0	0	4.733366340396864	0	1649.7344702601645
Q5FVC7	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	Acap2	0	2779.5038364663696	7591.135747847581	9293.975315362988	4086.640341654441	8876.70884177793	2912.7423150251	6.665511221829618	471.573461502153	6931.236965585886	6182.011572413953	366.7375213543269	3514.077333220514	17523.689672307817
P17764	Acetyl-CoA acetyltransferase, mitochondrial	Acat1	9439468.127938613	18985862.451723754	4604228.08541509	573296.9944593229	1342674.5155902605	321188.1648280817	764324.389102949	10348996.271225655	13821704.08289453	9446546.870606977	6676574.133193749	6029659.573360508	4440310.024149173	333973.9146673305
Q5XI22;A0A096MJY8	Acetyl-CoA acetyltransferase, cytosolic	Acat2	136269.08152714063	49299.09614569252	1396.7651084860258	0	570.0560338562682	14173.771540085398	0	1639.6903150280834	1944.7216518201176	27626.279771305453	11754.488368002376	87238.13096633075	13283.447850912873	57555.70012556271
Q7TNY6	Golgi resident protein GCP60	Acbd3	62361.090479494145	77979.28451711363	112968.96800995435	12675.601733654958	21548.856011622724	22218.99641365751	22372.501903474575	10493.133601253789	44468.32372629122	36853.97586490467	70744.51011517046	100802.3575155879	42288.004754063986	83177.42709137572
Q6DGF9	Acyl-CoA-binding domain-containing protein 4	Acbd4	0	252780.98919171368	65787.99314492759	0	0	0	0	0	0	0	0	7.70497503863151	0	0
A0FKI7;A0A0G2K3Z5	Acyl-CoA-binding domain-containing protein 5	Acbd5	62190.18184068388	111482.34345300887	185305.06225279268	5616.56743285498	12.456847680402769	0	0	5771.083480136899	625.2929131175774	1120.5141134620771	17400.937213833444	13820.974976501053	4246.3120619173205	13099.462196741291
Q5RJK8	Acyl-CoA-binding domain-containing protein 6	Acbd6	0	0	0	0	0	0	0	0	10.042536106631742	11.907763384004062	0	7.440428374686489	0	712.920353093696
F1LXH1	NA	Accs	0	243.56944959300998	0	0	0	0	0	0	141.22205065004982	11.074102620017536	1232.712357915811	3.936565242319438	0	2393.567731814393
P47820	Angiotensin-converting enzyme;Angiotensin-converting enzyme, soluble form	Ace	0	0	56419.93462834292	0	784.8487963714352	65.607053232445125	0	0	0	0	0	0	0	0
Q5EGZ1	Angiotensin-converting enzyme 2;Processed angiotensin-converting enzyme 2	Ace2	0	11372.587612064106	24783.90295345908	109.44995997451004	9.559938866219909	1402.2135393385913	0	0	0	146.50627753630576	0	6.409969399140009	0	0
E9PST5	NA	Acin1	20050.530560899566	64694.909882479	35917.27435436941	40076.43664582291	21164.973351300112	28405.75513579276	13937.975849278922	14682.953239474706	45937.422748370074	25537.632385713976	39777.185437052474	54879.69074883649	26149.908625329845	34525.907308657705
O89039	Atypical chemokine receptor 3	Ackr3	0	0	0	0	23.91434433072852	15260.556399603136	0	0	0	321.279451325868	6318.60183680936	14795.172311807299	9379.31873875292	10610.541812406394
P16638	ATP-citrate synthase	Acly	0	56892.1259334905	42680.50145217766	20166.202706765453	2219.7561445440724	29790.420085755188	22464.392291478718	11191.156845223682	31201.42301176448	29120.610672417384	27066.59838386388	45795.26434882726	19828.3657347672	59566.30943998452
Q8R5M5	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	Acmsd	254117.65792531281	771072.9125432974	111350.34920899727	2165.696436477864	18.203369943004724	0	0	0	1164.2333260876333	536.8900392806113	11.519799297162198	16.41473033266826	0	0
Q63270	Cytoplasmic aconitate hydratase	Aco1	2266667.007826675	5565903.704204664	6181565.156918046	182093.08473678151	298416.33076009457	78967.40243566799	66240.64090327121	274325.9757764656	790590.4515392306	495636.7455349237	288848.5072020739	473047.538095938	85189.38748542049	220469.9550211496
Q9ER34	Aconitate hydratase, mitochondrial	Aco2	4591463.499716285	13905431.129199665	9213341.084701464	810561.2128374246	1600988.4860319744	739462.3237734801	930916.4628466037	7502198.467441949	9303707.52117835	8937000.694790658	8512006.968402427	6954869.734531354	4324031.2557832105	1006773.9316881284
O88267	Acyl-coenzyme A thioesterase 1	Acot1	209630.24720608242	693261.597570499	522331.3509349524	66430.33482122427	31720.692435157795	217801.04873839716	33024.99996373999	0	19447.227955723687	740.9027693171743	10.933248763205015	1697.256689942901	222.78260258120142	80058.24762540036
F1LX28	NA	Acot11	0	11189.783506295476	0	0	0	0	0	0	0	368.44766367971243	3098.5270911884268	1270.1861037905844	0	0
Q99NB7	Acyl-coenzyme A thioesterase 12	Acot12	0	82620.37362986193	0	0	0	0	0	0	0	0	0	0	0	0
